periodFullName,isProcessed,fileName,Velocity_Band_6_Total_Duration,Velocity_Band_6_Total_Distance,Velocity_Band_5_Total_Duration,Velocity_Band_5_Total_Distance,Velocity_Band_4_Total_Duration,Velocity_Band_4_Total_Distance,Velocity_Band_3_Total_Duration,Velocity_Band_3_Total_Distance,Velocity_Band_2_Total_Duration,Velocity_Band_2_Total_Distance,Velocity_Band_1_Total_Duration,Velocity_Band_1_Total_Distance,Veld_grootte,Total_Duration,Total_Distance,Team_id,TableRow_skey,Start_Time,Soort_training,Session_Count,Remark3,Remark2,Remark,Player_id,Period_Number,Period_Name,Mean_Heart_Rate,Maximum_Velocity,Maximum_Heart_Rate,LoadDateTime,IMA_Jump_Count_Med_Band,IMA_Jump_Count_Low_Band,IMA_Jump_Count_High_Band,IMA_Dive_Intensity_Band_8_Right_Count,IMA_Dive_Intensity_Band_8_Left_Count,IMA_Dive_Intensity_Band_7_Right_Count,IMA_Dive_Intensity_Band_7_Left_Count,IMA_Dive_Intensity_Band_6_Right_Count,IMA_Dive_Intensity_Band_6_Left_Count,IMA_Dive_Intensity_Band_5_Right_Count,IMA_Dive_Intensity_Band_5_Left_Count,IMA_Dive_Intensity_Band_4_Right_Count,IMA_Dive_Intensity_Band_4_Left_Count,IMA_Dive_Intensity_Band_3_Right_Return_Band_3_Count,IMA_Dive_Intensity_Band_3_Right_Return_Band_2_Count,IMA_Dive_Intensity_Band_3_Right_Return_Band_1_Count,IMA_Dive_Intensity_Band_3_Right_Count,IMA_Dive_Intensity_Band_3_Left_Return_Band_3_Count,IMA_Dive_Intensity_Band_3_Left_Return_Band_2_Count,IMA_Dive_Intensity_Band_3_Left_Return_Band_1_Count,IMA_Dive_Intensity_Band_3_Left_Count,IMA_Dive_Intensity_Band_2_Right_Return_Band_3_Count,IMA_Dive_Intensity_Band_2_Right_Return_Band_2_Count,IMA_Dive_Intensity_Band_2_Right_Return_Band_1_Count,IMA_Dive_Intensity_Band_2_Right_Count,IMA_Dive_Intensity_Band_2_Left_Return_Band_3_Count,IMA_Dive_Intensity_Band_2_Left_Return_Band_2_Count,IMA_Dive_Intensity_Band_2_Left_Return_Band_1_Count,IMA_Dive_Intensity_Band_2_Left_Count,IMA_Dive_Intensity_Band_1_Right_Return_Band_3_Count,IMA_Dive_Intensity_Band_1_Right_Return_Band_2_Count,IMA_Dive_Intensity_Band_1_Right_Return_Band_1_Count,IMA_Dive_Intensity_Band_1_Right_Count,IMA_Dive_Intensity_Band_1_Left_Return_Band_3_Count,IMA_Dive_Intensity_Band_1_Left_Return_Band_2_Count,IMA_Dive_Intensity_Band_1_Left_Return_Band_1_Count,IMA_Dive_Intensity_Band_1_Left_Count,Heart_Rate_Index,Heart_Rate_Band_6_Total_Duration,Heart_Rate_Band_5_Total_Duration,Heart_Rate_Band_4_Total_Duration,Heart_Rate_Band_3_Total_Duration,Heart_Rate_Band_2_Total_Duration,Heart_Rate_Band_1_Total_Duration,Field_Time,ExcludeHR,Exclude,End_Time,Date,Bench_Time,AM_PM
Paton,true,Zathin,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,77,280,1405,30,af68e30e-37a7-429b-a312-033e8ee1c48e,14:10:17,Grocery,51,8,12,19,936,171,positiespel,108,864,165,23:07:01,52,35,72,36,69,41,93,59,15,88,5,70,39,43,65,20,86,55,80,21,13,7,24,13,83,24,17,40,31,8,6,72,52,54,27,74,79,77,77,52,56,34,69,11,10:12:39,false,false,12:37:30,3/22/2020,373,PM
Bogey,true,Redhold,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,123,548,7217,15,e10d4398-919d-4758-9e3b-e5dbe85339dc,1:17:34,Movies,28,25,16,18,828,19,partijspel,81,344,190,23:25:30,59,15,99,42,49,73,80,100,37,60,60,20,6,21,2,3,7,88,52,12,40,97,50,100,92,59,18,4,76,81,17,1,31,9,82,6,47,41,42,51,28,30,49,73,11:18:27,true,false,20:53:12,1/24/2015,651,AM
Kimmi,false,Home Ing,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,557,616,6054,2,66ba3bb9-fe0f-431c-9efb-0fcb4101a882,18:13:58,Jewelery,91,21,5,20,253,321,6,121,420,143,18:14:03,10,100,29,61,91,83,99,15,16,22,9,21,66,46,78,50,73,31,81,50,86,48,23,8,41,97,12,93,19,64,48,46,28,40,36,12,67,64,100,63,2,11,65,53,4:13:46,true,true,6:31:44,5/18/2016,168,AM
Huntington,true,Konklab,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,789,533,9221,40,ede02106-2442-4ada-a69a-b87999f367ce,15:56:55,Garden,65,9,25,3,140,961,7,135,232,133,22:06:02,39,38,49,60,91,35,51,51,15,37,69,48,54,78,62,79,85,77,42,94,60,7,59,83,16,84,33,55,68,75,71,94,56,36,67,51,91,3,74,40,35,11,14,2,5:20:50,true,true,2:59:51,7/7/2010,71,AM
Johnathan,true,Tempsoft,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,19,529,9124,50,8af74a6b-4c02-46e9-a7f9-1a2100db8ee2,9:43:57,Books,55,25,23,1,1199,217,duels,153,125,173,8:39:30,47,49,27,50,32,80,72,58,27,46,27,60,71,100,61,98,67,3,45,77,8,31,53,24,76,78,72,81,35,54,29,84,100,33,83,36,5,61,97,13,90,93,96,56,14:54:18,true,false,20:17:01,5/30/2012,47,AM
Westley,true,Sonair,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,95,314,4176,38,c36fa1db-1f40-472e-9697-6875620554fb,23:08:30,Industrial,100,23,4,19,867,204,4,143,643,174,6:52:24,16,12,52,91,70,65,83,48,58,55,76,91,36,17,80,89,33,22,75,47,3,65,83,93,5,31,86,20,95,38,85,30,50,83,8,9,61,91,91,12,67,2,92,1,12:51:54,false,true,9:57:02,6/26/2013,459,PM
Maddi,false,Keylex,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,585,78,5914,7,dee20b1e-9b43-4489-b30e-35587c23c120,10:22:53,Kids,24,14,13,6,1719,319,duels,155,73,214,5:45:02,69,7,83,64,55,41,14,93,9,57,99,31,53,87,20,86,79,16,70,15,90,10,38,44,61,86,4,68,2,50,86,10,47,17,59,8,47,31,15,38,68,83,34,14,8:29:27,true,false,18:10:52,4/2/2020,38,PM
Dani,true,Flowdesk,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,798,306,9132,3,756c4d4f-cb25-4c14-a38d-a01acb69b277,4:00:30,Sports,68,20,2,16,1430,963,positiespel,106,150,147,0:52:04,75,67,11,94,2,54,91,81,35,94,16,43,13,43,57,43,45,69,63,88,96,37,95,79,58,37,93,65,37,29,30,22,12,43,86,39,64,34,50,5,51,95,6,79,21:37:48,false,false,0:00:55,4/16/2019,292,AM
Phil,false,Aerified,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,855,352,188,10,b4f0dc8e-665d-4fad-8906-7a8b67509a6e,17:31:23,Tools,22,24,14,15,61,438,5,110,976,101,4:09:25,46,65,61,79,25,51,2,65,79,91,74,94,78,46,88,17,100,29,7,1,7,52,18,55,60,84,87,41,90,67,39,33,46,46,73,17,5,19,7,7,47,1,82,53,1:37:47,false,true,11:27:37,6/2/2010,365,AM
Alexis,false,Tampflex,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,855,715,2828,16,1a2f400a-7415-4275-9855-78b10e36782d,0:44:18,Electronics,69,1,10,7,310,388,positiespel,81,164,220,8:57:44,79,75,88,13,90,46,15,86,35,81,37,58,45,64,19,23,12,92,50,20,67,78,78,64,89,63,91,86,33,74,98,72,22,6,29,13,34,12,28,72,8,38,48,34,7:19:41,true,true,12:32:07,12/26/2010,833,PM
Akim,true,Mat Lam Tam,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,48,160,2036,43,9b0a4427-b789-4e64-80b9-d3c7531c1847,23:19:40,Industrial,30,25,4,9,560,70,6,149,611,160,8:22:40,91,19,58,68,85,26,8,11,41,30,23,40,69,65,11,42,68,59,48,44,10,48,36,41,55,52,86,17,53,94,7,11,57,42,88,100,28,13,75,50,46,63,42,41,9:50:18,false,true,16:16:33,6/21/2019,45,AM
Roldan,false,Cookley,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,658,743,2280,44,d81e587f-e94b-4f29-8000-de2b0b747832,10:57:33,Computers,68,7,15,22,574,960,w-up,116,752,101,0:07:28,34,42,26,5,25,16,57,21,50,58,54,10,11,69,71,75,39,61,82,15,85,25,23,14,90,7,28,81,38,75,89,74,17,18,41,46,86,60,80,35,15,29,15,29,2:21:19,true,false,10:48:14,5/1/2018,408,AM
Bennie,false,Ventosanzap,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,996,676,6913,11,05ec4b06-43ee-440c-8e8e-9b5a58e91678,15:30:41,Movies,61,7,24,7,364,121,7,125,848,103,19:42:22,30,63,23,45,82,12,59,74,10,25,98,29,71,10,52,12,48,43,79,40,50,16,98,50,25,70,58,13,70,80,5,41,85,12,61,87,30,86,12,7,54,47,93,72,22:47:19,true,true,16:39:33,4/2/2015,751,AM
Marcela,true,Konklab,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,2,649,731,36,6f0a9f72-9e0f-4c4d-ae59-2b46e5f0058d,9:38:08,Electronics,95,3,12,6,1191,926,7,106,44,195,1:38:47,83,75,19,67,17,75,46,2,74,46,46,99,79,96,98,2,78,17,80,13,71,61,47,18,39,99,97,48,25,27,68,39,56,21,28,31,28,30,73,65,40,66,51,96,3:09:30,false,false,23:37:12,3/16/2014,974,PM
Ernest,true,Cardify,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,805,747,9819,50,5eeb4c02-4045-4a89-8447-f4350012d231,15:51:50,Grocery,42,8,15,3,232,843,duels,149,838,179,5:37:51,72,2,90,19,64,89,60,57,59,45,19,88,31,7,70,37,21,62,74,86,14,85,42,91,45,74,62,85,78,12,33,50,21,62,75,48,5,56,46,77,5,77,96,40,19:39:12,false,false,3:51:29,4/3/2018,316,AM
Rawley,false,Cardify,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,74,8,393,26,4792b2de-50ed-45bf-935b-2cd04fc30cc1,22:12:51,Tools,60,10,15,4,1617,465,6,158,834,117,20:35:46,85,75,73,5,94,64,13,64,89,1,32,16,78,63,42,61,25,34,49,19,63,12,37,31,2,88,96,12,40,37,24,42,59,17,22,100,20,33,27,66,76,15,53,64,23:17:23,false,true,7:28:07,10/26/2019,545,AM
Hilary,false,Job,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,662,144,905,5,7b777794-dfbb-432b-8a8d-bf26001b4a0e,1:00:30,Health,94,11,23,3,205,462,afwerken,87,674,97,14:29:02,12,33,32,36,45,67,83,62,56,78,4,30,87,80,31,49,49,31,93,3,95,64,15,98,15,39,8,64,41,8,72,89,44,49,7,28,91,90,19,53,94,93,86,53,21:06:51,true,true,15:11:06,1/15/2018,357,AM
Dore,false,Alphazap,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,155,703,5708,12,7c6e1f99-9951-47fb-ab95-b2923b991537,7:42:05,Baby,81,19,25,8,1703,983,4,87,297,183,22:33:07,28,5,20,59,66,14,35,11,37,74,6,60,80,50,68,11,12,75,25,50,86,96,55,31,3,12,52,92,47,91,51,66,30,65,49,41,67,11,81,74,96,100,6,28,15:56:02,false,true,16:48:36,8/23/2018,283,PM
Lynnelle,false,Zaam-Dox,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,284,594,6302,12,21ad12d5-3853-44d8-90b6-8094edb80352,23:03:52,Shoes,95,11,8,9,601,654,7,159,175,96,20:55:23,19,54,95,22,9,11,2,99,46,86,2,63,20,97,2,89,78,65,10,39,79,63,4,54,53,42,62,97,57,60,25,49,90,39,64,96,44,86,61,38,51,35,44,59,2:26:40,true,true,21:39:26,6/14/2013,788,PM
Zarla,false,Tempsoft,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,692,987,3565,9,49b54729-6127-4b44-8b0b-4120a986b3f9,14:46:54,Electronics,57,20,23,4,576,974,duels,129,985,208,15:44:14,58,57,26,50,90,49,78,99,20,99,61,9,1,91,78,83,9,4,86,37,2,63,74,61,85,15,42,38,29,80,15,84,53,61,10,2,50,16,5,30,42,67,56,57,7:30:52,false,true,11:53:04,7/17/2017,246,AM
Sheppard,true,Tresom,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,479,431,9227,30,3a323f6d-0a87-4b59-85c4-6e914c118e33,22:43:00,Movies,86,2,8,25,836,271,w-up,135,871,113,10:22:55,59,2,57,84,53,90,17,76,9,47,12,64,74,59,29,54,68,100,10,61,88,22,19,61,57,100,90,68,62,82,90,28,76,96,55,33,14,24,44,67,18,71,44,59,10:17:12,true,false,8:14:35,3/31/2015,235,AM
Shirl,false,Ventosanzap,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,925,850,1523,6,cea0b255-c168-467a-a961-425176006c67,7:22:49,Health,95,17,4,2,69,677,7,117,222,185,1:07:39,40,5,57,35,99,8,50,50,93,67,96,63,72,26,95,85,87,57,21,95,2,98,24,41,64,50,63,40,29,12,30,3,46,10,99,41,38,46,63,36,69,92,24,80,23:58:43,false,false,21:59:52,5/15/2017,959,PM
Wilt,true,Redhold,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,849,943,9667,28,1cb34c18-78ac-4223-95fd-319983cd3844,21:38:49,Beauty,24,2,11,25,106,917,partijspel,123,191,155,15:38:49,37,42,66,40,18,60,33,62,7,43,43,87,22,11,79,41,36,51,99,25,92,9,37,8,41,65,10,80,88,73,40,24,90,30,26,11,93,91,20,5,46,53,53,75,7:17:28,false,true,11:17:35,6/10/2010,123,AM
Nerta,false,Greenlam,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,955,606,1948,3,1ffea80e-e51c-4ef7-a7aa-036fcdc00744,0:25:34,Kids,47,21,21,24,1043,73,6,92,509,206,22:28:32,6,28,90,29,27,14,70,2,46,71,94,89,31,80,16,31,58,11,93,69,68,12,79,9,94,71,93,38,77,7,39,36,60,86,32,60,55,4,80,48,100,61,88,49,19:46:16,true,false,3:37:34,2/27/2019,318,AM
Claudianus,false,Aerified,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,307,295,9889,47,d1749ba3-43d7-416d-ac79-97e968949ecd,5:47:15,Industrial,91,12,6,5,1864,962,afwerken,150,882,178,8:17:52,65,20,82,34,100,10,73,86,26,21,70,91,42,32,95,70,77,65,53,78,10,27,76,88,20,19,15,28,52,13,85,93,91,98,45,72,1,100,3,25,53,12,7,45,4:11:49,false,true,10:51:15,8/9/2012,886,AM
Urbano,true,Matsoft,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,997,486,5329,1,97d687ec-4943-4a69-a678-3c11157cb942,17:38:49,Tools,10,25,4,3,1936,773,positiespel,153,293,160,9:10:29,78,43,28,94,72,5,5,64,6,85,81,28,30,47,17,55,70,6,81,81,39,5,65,93,71,19,3,76,13,83,36,43,38,89,66,83,14,8,99,59,90,52,12,79,8:50:52,true,false,0:50:58,12/14/2011,838,AM
Gustave,false,Voltsillam,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,537,812,550,33,ebed2e5f-67f2-4295-8c53-bd66ad790c10,1:11:29,Clothing,83,6,2,7,1610,998,duels,147,3,210,13:36:21,96,34,93,54,66,44,19,28,11,2,38,93,45,11,12,68,16,77,35,85,50,68,13,28,59,27,16,55,41,79,24,63,70,56,69,44,32,5,49,15,19,32,69,83,22:03:47,false,false,14:21:17,3/21/2016,230,AM
Archaimbaud,false,Cookley,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,474,533,3479,19,f30366ca-ad40-4eb3-bf34-bbe861db227a,15:05:07,Garden,3,18,1,20,325,66,partijspel,93,37,118,15:37:43,39,2,61,81,45,26,88,49,80,63,97,15,30,64,15,50,21,89,39,39,46,28,88,67,89,51,51,18,46,87,34,15,56,1,95,36,77,80,91,20,62,1,80,83,0:17:00,false,false,8:17:27,8/24/2015,137,PM
Georas,true,Tin,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,19,132,4570,46,83de8a1a-f383-4d92-b4ca-667159c0ab96,22:16:35,Jewelery,51,8,4,5,1316,747,5,114,132,91,15:04:38,80,10,95,57,97,14,62,82,82,33,66,53,1,27,4,46,87,18,63,69,9,89,4,41,61,100,67,58,75,21,39,72,13,83,31,53,20,12,81,58,52,91,30,33,3:02:22,true,true,13:05:02,9/2/2010,238,AM
Horst,false,Latlux,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,131,516,848,43,dcbf8b46-43b9-4ebc-82e0-d120c711ccec,15:55:10,Home,23,2,15,15,272,701,4,94,442,162,4:01:49,97,52,81,94,92,98,28,52,91,89,25,79,51,24,9,75,41,87,16,15,43,8,93,24,73,44,62,3,18,100,50,88,65,61,13,24,61,78,50,65,19,57,73,65,21:40:29,false,true,9:39:45,5/7/2017,23,PM
Bartholomeus,true,Gembucket,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,334,758,3872,24,193c645f-a713-45e4-8dcf-bc45e6e8c530,14:22:26,Books,61,13,5,10,237,200,7,109,879,98,2:51:34,60,96,11,11,67,83,62,75,89,19,26,23,87,5,19,48,7,43,27,61,82,52,67,71,55,80,52,2,42,71,81,91,6,50,12,65,17,70,76,64,49,87,93,91,1:40:13,false,false,9:53:59,8/4/2012,60,AM
Kiri,false,Viva,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,304,555,1847,10,d648c305-3e67-4dbe-a8e3-b6b3298486a8,10:46:57,Outdoors,67,22,7,22,1941,167,5,105,484,171,12:11:57,11,43,81,44,23,75,38,93,12,26,17,2,63,100,10,58,4,97,5,65,13,1,64,76,39,58,49,4,98,65,63,20,11,81,48,24,32,57,37,18,72,18,24,46,17:07:27,false,false,11:07:34,11/12/2017,401,PM
Magdalene,true,Tin,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,50,470,8562,13,d2cbeb6e-faad-411e-85d1-1b23521a6f01,4:04:31,Sports,66,25,7,9,352,229,4,157,676,186,18:39:52,50,67,10,56,70,95,32,53,76,36,81,84,100,67,34,54,42,39,27,99,98,94,53,96,23,75,65,49,82,40,43,50,7,40,1,82,97,67,81,23,41,62,48,92,19:10:18,false,true,9:02:13,6/26/2016,18,AM
Ardath,true,Aerified,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,170,902,4405,5,fadd1b6d-942d-47b3-ac3e-526c3ba726ad,9:43:32,Grocery,98,23,12,23,1755,367,afwerken,145,389,128,16:31:26,66,48,11,31,2,46,29,45,89,90,87,68,31,93,25,57,42,73,82,34,9,14,68,87,87,84,21,19,84,97,26,71,22,38,68,71,52,17,1,84,38,51,51,24,16:41:57,true,true,7:30:31,9/4/2012,977,AM
Bill,true,Gembucket,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,673,50,643,13,f7514358-0320-4dfa-a559-50d360d132e7,13:24:53,Clothing,44,25,15,18,1504,312,afwerken,131,835,179,10:01:49,52,83,89,62,11,16,45,4,24,7,54,36,31,91,30,40,75,37,53,52,24,41,53,7,65,40,85,28,69,57,18,71,71,1,88,38,45,15,50,6,23,88,6,61,15:32:16,true,true,2:18:56,7/1/2018,34,AM
Jobyna,true,Holdlamis,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,608,431,8460,17,ad083b7c-3592-47df-952a-a661b8f9842d,4:49:03,Computers,22,16,7,18,1999,830,positiespel,120,806,103,4:13:16,14,85,53,52,72,16,72,31,17,36,16,94,65,14,73,98,55,25,22,28,93,3,87,71,56,57,43,15,26,50,63,79,83,87,47,96,27,55,99,14,45,96,75,72,3:20:27,false,false,12:32:18,9/9/2013,96,PM
Salli,false,Stronghold,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,219,567,6520,13,de8e623f-46ee-40f8-8b12-8dba816138f3,10:24:55,Beauty,20,23,11,5,142,923,4,98,205,99,4:23:13,66,26,64,40,61,59,8,31,32,50,80,64,84,75,100,94,10,36,13,9,61,96,91,56,37,60,40,69,50,68,12,93,97,88,48,99,72,82,63,21,51,29,43,28,14:11:26,true,true,8:20:26,10/5/2014,373,AM
Carrol,false,Fix San,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,609,425,2651,34,ad065093-4ed3-4613-9145-2b86258b1e2a,8:44:56,Baby,23,25,9,7,1012,238,5,87,40,87,4:56:15,56,82,81,78,85,80,53,73,41,47,80,11,58,83,41,67,51,22,36,75,81,51,41,65,42,98,40,63,77,98,33,34,2,32,47,86,33,89,91,17,92,77,82,59,13:50:38,false,true,3:32:04,3/4/2018,282,AM
Rudyard,true,Tempsoft,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,488,926,12,6,ea69022b-b28d-47cf-ad13-d8e58bac35c5,3:56:17,Computers,39,15,2,2,907,109,positiespel,140,520,99,23:37:03,96,23,85,35,10,85,39,37,16,13,5,44,89,41,85,29,64,53,58,37,2,59,91,58,80,36,32,41,34,82,10,83,75,90,24,84,72,33,32,19,34,7,23,4,9:12:14,false,true,18:38:03,12/16/2010,412,AM
Darrick,false,Ronstring,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,707,388,1591,48,21e0866a-21a8-4b40-a2c9-96d823f51df0,15:12:21,Toys,44,12,23,23,170,588,5,156,736,84,16:43:52,92,41,84,48,54,17,85,21,58,33,28,60,2,94,14,15,98,43,13,61,59,37,34,90,75,100,96,83,96,17,29,5,3,69,52,39,92,57,43,68,51,12,60,49,12:30:02,false,false,12:15:05,8/18/2012,765,AM
