Date,Time,Team_id,Activity_Team,Player_id,Exercise_Name,Exercise_nr,Exercise_name_toevoeging,Comment,Exercise_Part,Veldgrootte,Duration,System,Activity,Positie_wedstrijd,Total_Distance,Distance_0_B_7_km_u,Distance_7_B_12_km_u,Distance_12_B_15_km_u,Distance_15_B_17_DOT_5_km_u,High_Intensity_Distance_17_DOT_5_B_22_DOT_5_km_u,Sprint_Distance_BT_22_DOT_5_km_u,High_Intensity_Distance_BT_17_DOT_5_km_u,Accelerations_Low,Accelerations_Medium,Accelerations_High,Heart_Rate_Low,Heart_Rate_Medium,Heart_Rate_High,Heart_Rate_BT_86,Heart_Rate_86_B_93,Heart_Rate_BT_93,Maximum_Heart_Rate,Relative_Maximum_Heart_Rate,Mean_HR,Relative_Mean_HR,HR_Index,Maximum_Velocity,Error_XY,Error_HR,Comments,AM_PM,DaysBeforeMatch,DaysAfterMatch,id,Entered_datetime
2/6/2018,9:39,1,11,1712,sit,148,"","",14,397,516,13,22,2,400,20,50,94,46,96,14,5,18,32,16,59,116,139,74,77,81,190,22,104,89,94,34,true,false,Phasellus in felis. Donec semper sapien a libero.,PM,50,0,905,8/31/2014
1/5/2017,12:16,43,12,1179,in,79,parturient,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",33,324,148,20,170,4,474,21,21,58,30,69,84,45,46,28,17,66,124,175,71,70,81,213,93,106,82,107,25,true,false,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",AM,10,8,991,9/25/2012
7/1/2018,15:43,37,14,1464,eget,188,purus,In congue. Etiam justo. Etiam pretium iaculis justo.,50,703,747,12,58,4,79,82,65,77,29,96,88,5,1,37,35,74,120,156,94,69,61,125,39,99,94,76,25,true,false,"Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",PM,47,29,269,3/18/2012
4/11/2016,13:08,19,16,1920,donec,165,sapien,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",34,56,551,4,129,3,662,96,29,67,47,84,41,75,43,21,19,68,139,183,73,79,88,102,69,95,74,100,59,false,false,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,AM,7,26,364,9/1/2014
6/27/2011,12:56,20,24,613,leo,185,vestibulum,"",51,110,157,13,109,9,60,54,67,61,39,91,72,100,39,8,40,53,129,132,63,74,81,131,61,105,96,79,23,true,false,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",AM,28,5,585,1/7/2018
12/28/2018,4:46,5,4,233,platea,128,"","Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",44,48,534,8,164,5,647,71,89,85,35,71,39,61,13,50,42,76,90,179,91,64,65,104,90,105,67,98,29,true,false,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.",AM,47,17,345,3/20/2017
4/6/2016,11:47,45,15,1831,posuere,193,"","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",2,101,994,15,91,9,415,85,9,48,99,31,2,51,26,11,21,51,108,170,71,88,75,141,22,98,83,87,40,true,true,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",AM,16,10,737,11/2/2011
2/8/2019,18:47,25,16,1830,suspendisse,93,sit,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,59,261,934,18,153,9,1,94,9,91,95,41,82,42,9,13,19,80,108,135,93,60,95,158,90,100,31,115,53,false,false,Donec posuere metus vitae ipsum. Aliquam non mauris.,AM,1,19,717,11/17/2014
2/28/2019,7:55,31,3,1748,vestibulum,22,"","Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",53,449,255,16,150,5,838,4,72,100,76,43,70,44,26,49,5,65,114,195,70,73,91,158,26,111,88,75,40,false,true,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",AM,39,19,800,2/12/2012
2/6/2012,13:15,18,7,97,accumsan,92,condimentum,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",64,879,546,16,32,4,225,22,27,83,83,89,3,48,41,19,12,65,98,129,94,88,88,218,36,90,80,93,37,false,false,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",PM,1,6,144,8/7/2012
6/18/2018,15:45,44,7,415,nulla,168,"",Nulla mollis molestie lorem.,7,839,681,3,102,7,632,71,7,96,83,22,39,55,7,36,16,69,102,174,71,61,67,210,42,92,85,100,21,false,false,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",AM,39,21,841,9/22/2010
8/9/2015,9:51,44,3,1390,vulputate,106,"",Proin at turpis a pede posuere nonummy.,12,23,978,14,53,5,111,88,88,29,28,22,54,15,6,42,24,58,106,174,96,71,80,168,62,100,97,99,53,false,false,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",PM,60,2,721,4/10/2011
8/9/2011,18:16,26,6,674,tortor,117,"","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",28,882,711,18,44,2,369,63,7,15,98,11,61,19,10,22,16,78,85,198,97,91,80,125,30,88,42,119,53,true,false,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",PM,57,18,19,6/3/2019
7/25/2010,16:21,32,6,956,ut,92,"","Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",12,536,200,6,41,2,65,38,83,6,29,22,19,36,19,49,19,78,113,127,95,60,80,170,22,99,98,100,39,false,false,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",PM,8,12,124,2/25/2013
3/2/2012,1:49,6,25,1173,bibendum,41,tempus,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,56,372,655,19,78,1,213,71,14,90,63,7,56,9,37,1,20,61,137,195,93,93,69,151,65,94,84,111,48,true,false,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",AM,22,30,297,10/11/2010
6/16/2016,8:32,20,1,326,eleifend,57,mauris,"",41,438,669,1,69,6,154,18,46,51,53,53,70,52,7,28,1,61,80,173,61,89,99,133,39,96,50,97,31,true,true,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,PM,2,2,222,8/18/2016
12/21/2016,16:24,32,10,640,in,115,"","",100,910,629,18,163,10,672,75,42,70,5,40,13,28,24,26,15,52,92,138,71,71,74,103,71,108,64,96,21,false,true,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",AM,0,5,82,8/13/2018
9/14/2012,18:05,13,11,367,non,182,sagittis,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",45,16,49,8,112,10,857,12,58,16,78,10,13,86,24,8,17,69,88,155,64,61,99,183,35,115,89,101,24,false,true,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",PM,34,19,696,11/8/2012
6/29/2010,10:33,8,3,1371,donec,160,"",Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,42,100,330,1,124,2,128,35,5,54,45,10,79,55,21,15,14,67,83,128,81,61,81,152,40,107,63,94,30,false,true,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.",PM,58,0,434,2/8/2011
11/11/2019,3:46,13,5,389,integer,35,"","Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",14,749,725,1,25,9,938,90,55,77,95,79,80,57,34,11,30,50,133,138,84,96,96,179,81,106,44,98,39,true,true,Quisque porta volutpat erat.,AM,26,14,811,12/14/2017
9/22/2013,17:43,47,16,982,ac,188,pulvinar,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,45,772,594,6,78,2,294,25,95,12,39,1,63,57,40,25,38,59,149,151,81,62,96,178,78,114,39,77,31,false,false,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",AM,30,1,446,8/17/2013
2/2/2016,3:12,28,11,1095,risus,100,massa,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,2,670,593,7,146,5,28,59,41,37,54,61,80,86,19,9,22,65,87,160,92,100,68,213,41,91,32,110,23,true,false,Pellentesque eget nunc.,PM,19,30,233,8/21/2010
3/14/2012,11:08,37,13,393,neque,94,morbi,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",49,440,677,2,163,7,586,30,46,59,19,22,65,51,48,38,10,71,124,192,75,81,60,134,56,106,52,120,52,true,false,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",AM,56,16,790,9/15/2012
9/6/2010,11:05,38,5,1632,morbi,70,"","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.",61,76,560,17,134,2,622,3,70,74,82,1,17,7,50,43,49,65,129,127,74,63,78,151,22,90,44,91,34,false,true,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,PM,39,24,827,4/2/2014
12/10/2018,14:45,35,10,1075,lacinia,2,"",Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,53,878,380,12,86,1,570,29,65,90,41,66,65,59,10,2,16,77,107,182,95,90,95,190,97,119,74,113,28,false,true,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",PM,38,0,988,10/20/2014
10/8/2019,19:15,22,19,40,eu,157,"","",86,311,469,6,187,2,6,55,88,23,95,12,96,2,7,31,46,77,127,160,95,74,73,183,92,89,94,90,44,false,true,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",AM,44,6,617,9/10/2016
9/8/2017,18:39,45,19,1606,eu,48,molestie,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,83,726,639,18,35,9,480,49,80,69,45,6,98,27,27,42,46,70,118,189,84,96,94,184,46,90,30,87,26,false,true,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",PM,23,23,940,11/6/2010
4/2/2014,13:48,37,24,939,ac,119,"","In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",94,601,910,3,66,10,596,27,16,53,41,77,97,62,13,2,9,79,80,186,98,72,64,114,70,87,88,93,53,true,true,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.",AM,45,20,288,8/24/2013
8/14/2011,10:25,5,11,455,tortor,19,"",Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,56,261,378,13,127,5,739,90,41,55,49,17,88,81,15,46,47,63,114,180,80,98,63,216,53,91,59,108,46,true,false,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",AM,60,23,262,1/18/2017
7/21/2016,18:05,9,18,116,nunc,112,pede,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",4,781,770,17,151,6,25,59,26,24,76,91,58,1,9,48,5,61,106,153,90,69,99,181,31,105,60,79,44,false,false,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,PM,48,16,338,9/6/2016
1/28/2019,22:49,37,18,1546,consequat,182,pulvinar,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",42,811,501,4,121,5,481,59,8,84,83,62,18,30,5,34,19,80,116,134,80,64,81,107,78,90,99,107,55,true,false,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",AM,49,30,223,12/20/2013
6/1/2013,15:52,11,21,685,proin,193,at,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,82,351,284,15,3,4,843,99,83,66,100,5,16,33,36,11,16,77,95,151,80,70,91,168,87,112,77,97,22,false,true,Cras pellentesque volutpat dui.,PM,0,30,762,12/28/2012
8/11/2016,18:04,42,9,1354,viverra,150,nam,"",47,116,446,5,1,10,457,89,27,15,7,21,75,25,17,33,25,50,93,167,92,62,73,135,95,96,97,88,31,false,false,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",AM,6,27,342,10/16/2013
7/14/2019,15:02,38,16,1926,donec,14,"","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",27,521,109,19,115,8,972,83,47,11,6,40,25,75,49,20,9,73,94,148,88,94,98,193,60,96,61,110,55,true,false,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",PM,52,11,554,9/9/2012
12/12/2016,12:59,8,14,1143,vitae,58,"","Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",77,650,241,4,117,1,314,95,82,66,4,97,28,49,32,29,15,61,113,180,90,61,91,159,93,110,58,119,49,false,false,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",AM,21,4,181,5/22/2010
9/18/2012,2:49,40,2,630,in,139,eu,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",73,919,750,11,123,8,319,22,3,46,79,40,23,30,1,8,43,67,137,191,100,77,72,152,62,110,54,123,23,true,true,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",PM,37,9,925,1/30/2014
4/28/2013,13:37,20,17,329,vivamus,196,"","",35,351,53,12,21,10,687,70,37,99,67,33,90,86,28,40,34,79,128,131,80,66,65,165,56,97,41,124,30,false,false,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,AM,50,15,721,4/13/2011
11/19/2011,3:01,7,20,378,turpis,34,"",Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,83,695,393,3,14,2,426,62,77,59,17,52,5,89,50,34,25,78,108,138,99,62,98,183,20,113,61,99,24,false,true,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",PM,42,18,385,2/6/2019
3/26/2014,20:27,34,15,1076,ante,179,"",Phasellus in felis.,47,996,817,8,103,1,946,7,41,12,45,28,60,61,20,7,36,64,93,195,64,88,80,127,49,112,42,91,25,false,false,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",AM,43,12,571,8/26/2019
7/13/2012,1:10,22,10,382,a,129,"","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",26,548,381,18,119,4,170,53,92,8,25,62,85,55,27,2,41,70,108,178,80,93,82,103,86,114,96,80,25,true,false,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",PM,40,23,132,6/12/2014
12/1/2011,10:46,40,2,375,odio,134,"","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",61,918,519,13,112,2,570,18,39,23,68,95,36,86,30,32,1,66,92,186,95,89,65,162,60,113,41,76,36,true,false,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",PM,32,18,723,8/27/2019
8/22/2016,2:57,31,11,182,duis,22,tincidunt,Fusce consequat. Nulla nisl.,10,475,120,7,96,10,373,12,18,14,77,84,73,34,11,39,9,75,99,153,90,63,83,182,55,101,58,92,24,false,false,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",AM,26,30,988,2/10/2018
4/4/2012,20:29,7,17,1311,at,111,"","Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",55,904,60,4,28,8,762,25,21,39,79,65,56,82,39,37,8,60,99,183,78,79,71,183,56,91,39,80,33,false,true,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",PM,27,4,673,4/3/2019
5/15/2011,7:43,40,12,1931,vulputate,72,"",Aenean fermentum.,58,249,466,7,98,5,792,56,15,59,31,39,5,77,36,11,34,74,90,151,73,100,95,217,45,116,38,104,40,true,true,Phasellus in felis.,PM,45,15,733,12/16/2017
11/3/2018,4:24,19,9,1017,vestibulum,47,"",In eleifend quam a odio.,49,939,191,12,65,5,208,89,27,66,7,81,61,35,11,3,28,74,88,186,84,70,83,142,73,109,82,114,49,true,true,"Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",AM,20,4,651,2/25/2017
1/5/2016,13:28,44,17,1476,dapibus,77,fusce,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",80,374,515,15,78,1,610,83,4,38,50,98,67,32,32,4,2,52,138,164,96,88,75,185,26,113,96,79,58,false,true,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",PM,32,27,739,8/25/2011
1/5/2011,12:34,12,7,1209,tincidunt,12,"","Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",13,271,932,6,106,7,147,25,39,73,23,22,33,47,5,32,49,51,141,149,82,92,88,210,27,114,96,107,32,true,false,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",AM,15,0,225,8/22/2015
10/4/2015,1:51,20,7,1444,quam,32,nibh,Suspendisse accumsan tortor quis turpis.,91,69,362,2,179,10,9,53,56,27,32,87,58,65,24,26,19,62,128,129,83,92,90,117,38,97,56,86,29,true,false,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",PM,36,5,732,1/27/2018
8/18/2017,2:44,24,1,683,cursus,159,semper,"",17,615,23,4,92,2,858,93,24,8,71,90,13,13,30,10,10,61,114,156,60,73,82,165,32,105,83,77,45,false,false,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",PM,57,10,744,12/24/2015
3/12/2015,17:50,12,3,705,suscipit,2,sapien,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",17,875,141,3,77,8,424,32,50,7,33,90,74,81,27,34,7,79,133,173,64,92,68,170,33,108,75,119,39,false,false,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",PM,36,14,471,11/4/2014
